series_id,area_type_code,area_code,seasonal,series_title,begin_year,begin_period,end_year,end_period,srd_code,measure_name,area_name,county,state
LAUCN010010000000003,F,CN0100100000000,U,"Unemployment Rate: Autauga County, AL (U)",1990,M01,2025,M07,01,Unemployment Rate,"Autauga County, AL",Autauga County,AL
LAUCN010010000000004,F,CN0100100000000,U,"Unemployment: Autauga County, AL (U)",1990,M01,2025,M07,01,Unemployment,"Autauga County, AL",Autauga County,AL
LAUCN010010000000005,F,CN0100100000000,U,"Employment: Autauga County, AL (U)",1990,M01,2025,M07,01,Employment,"Autauga County, AL",Autauga County,AL
LAUCN010010000000006,F,CN0100100000000,U,"Labor Force: Autauga County, AL (U)",1990,M01,2025,M07,01,Labor Force,"Autauga County, AL",Autauga County,AL
LAUCN010030000000003,F,CN0100300000000,U,"Unemployment Rate: Baldwin County, AL (U)",1990,M01,2025,M07,01,Unemployment Rate,"Baldwin County, AL",Baldwin County,AL
LAUCN010030000000004,F,CN0100300000000,U,"Unemployment: Baldwin County, AL (U)",1990,M01,2025,M07,01,Unemployment,"Baldwin County, AL",Baldwin County,AL
LAUCN010030000000005,F,CN0100300000000,U,"Employment: Baldwin County, AL (U)",1990,M01,2025,M07,01,Employment,"Baldwin County, AL",Baldwin County,AL
LAUCN010030000000006,F,CN0100300000000,U,"Labor Force: Baldwin County, AL (U)",1990,M01,2025,M07,01,Labor Force,"Baldwin County, AL",Baldwin County,AL
LAUCN010050000000003,F,CN0100500000000,U,"Unemployment Rate: Barbour County, AL (U)",1990,M01,2025,M07,01,Unemployment Rate,"Barbour County, AL",Barbour County,AL
LAUCN010050000000004,F,CN0100500000000,U,"Unemployment: Barbour County, AL (U)",1990,M01,2025,M07,01,Unemployment,"Barbour County, AL",Barbour County,AL
LAUCN010050000000005,F,CN0100500000000,U,"Employment: Barbour County, AL (U)",1990,M01,2025,M07,01,Employment,"Barbour County, AL",Barbour County,AL
LAUCN010050000000006,F,CN0100500000000,U,"Labor Force: Barbour County, AL (U)",1990,M01,2025,M07,01,Labor Force,"Barbour County, AL",Barbour County,AL
LAUCN010070000000003,F,CN0100700000000,U,"Unemployment Rate: Bibb County, AL (U)",1990,M01,2025,M07,01,Unemployment Rate,"Bibb County, AL",Bibb County,AL
LAUCN010070000000004,F,CN0100700000000,U,"Unemployment: Bibb County, AL (U)",1990,M01,2025,M07,01,Unemployment,"Bibb County, AL",Bibb County,AL
LAUCN010070000000005,F,CN0100700000000,U,"Employment: Bibb County, AL (U)",1990,M01,2025,M07,01,Employment,"Bibb County, AL",Bibb County,AL
LAUCN010070000000006,F,CN0100700000000,U,"Labor Force: Bibb County, AL (U)",1990,M01,2025,M07,01,Labor Force,"Bibb County, AL",Bibb County,AL
LAUCN010090000000003,F,CN0100900000000,U,"Unemployment Rate: Blount County, AL (U)",1990,M01,2025,M07,01,Unemployment Rate,"Blount County, AL",Blount County,AL
LAUCN010090000000004,F,CN0100900000000,U,"Unemployment: Blount County, AL (U)",1990,M01,2025,M07,01,Unemployment,"Blount County, AL",Blount County,AL
LAUCN010090000000005,F,CN0100900000000,U,"Employment: Blount County, AL (U)",1990,M01,2025,M07,01,Employment,"Blount County, AL",Blount County,AL
LAUCN010090000000006,F,CN0100900000000,U,"Labor Force: Blount County, AL (U)",1990,M01,2025,M07,01,Labor Force,"Blount County, AL",Blount County,AL
LAUCN010110000000003,F,CN0101100000000,U,"Unemployment Rate: Bullock County, AL (U)",1990,M01,2025,M07,01,Unemployment Rate,"Bullock County, AL",Bullock County,AL
LAUCN010110000000004,F,CN0101100000000,U,"Unemployment: Bullock County, AL (U)",1990,M01,2025,M07,01,Unemployment,"Bullock County, AL",Bullock County,AL
LAUCN010110000000005,F,CN0101100000000,U,"Employment: Bullock County, AL (U)",1990,M01,2025,M07,01,Employment,"Bullock County, AL",Bullock County,AL
